"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1740722","1.1.1.2","1001.43","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1740722","1.1.1.2","1028.47","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1740722","1.1.1.2","1096.60","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1740722","1.1.1.2","1130.55","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Industrial aggregate excluding unclassified businesses [11-91N]","Current dollars","75","units","0","v1740722","1.1.1.2","1165.51","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Goods producing industries [11-33N]","Current dollars","75","units","0","v1740723","1.1.1.3","1253.28","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Goods producing industries [11-33N]","Current dollars","75","units","0","v1740723","1.1.1.3","1287.98","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Goods producing industries [11-33N]","Current dollars","75","units","0","v1740723","1.1.1.3","1311.40","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Goods producing industries [11-33N]","Current dollars","75","units","0","v1740723","1.1.1.3","1355.45","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Goods producing industries [11-33N]","Current dollars","75","units","0","v1740723","1.1.1.3","1423.47","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Forestry","Current dollars","75","units","0","v1740724","1.1.1.4","1202.95","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Forestry","Current dollars","75","units","0","v1740724","1.1.1.4","1195.16","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Forestry","Current dollars","75","units","0","v1740724","1.1.1.4","1202.36","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Forestry","Current dollars","75","units","0","v1740724","1.1.1.4","1269.91","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Forestry,"Current dollars","75","units","0","v1740724","1.1.1.4","1313.93","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1740727","1.1.1.10","2060.10","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1740727","1.1.1.10","2130.03","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1740727","1.1.1.10","2099.63","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1740727","1.1.1.10","2171.10","B","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1740727","1.1.1.10","2254.15","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1740734","1.1.1.17","1879.76","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1740734","1.1.1.17","1890.98","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1740734","1.1.1.17","1910.42","B","","","2"
"2021","Canada","2021A000011124","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1740734","1.1.1.17","1907.44","A","","","2"
"2022","Canada","2021A000011124","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1740734","1.1.1.17","1995.20","B","","","2"
"2018","Canada","2021A000011124","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1740738","1.1.1.21","1257.05","A","","","2"
"2019","Canada","2021A000011124","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1740738","1.1.1.21","1283.35","A","","","2"
"2020","Canada","2021A000011124","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1740738","1.1.1.21","1320.81","B","","","2"
