"Age, race, and Hispanic or Latino ethnicity",Total,,Men,,Women,
,"Number of
workers
(in
thousands)","Median
weekly
earnings","Number of
workers
(in
thousands)","Median
weekly
earnings","Number of
workers
(in
thousands)","Median
weekly
earnings"
TOTAL,,,,,,
16 years and over,"121,516","$1,100","67,310","$1,181","54,207",$993
16 to 24 years,"11,697",698,"6,608",714,"5,089",672
16 to 19 years,"1,565",603,980,618,585,579
20 to 24 years,"10,132",712,"5,627",732,"4,505",687
25 years and over,"109,819","1,157","60,702","1,255","49,117","1,050"
25 to 54 years,"84,494","1,155","46,663","1,247","37,831","1,055"
25 to 34 years,"30,044","1,042","16,520","1,121","13,524",966
35 to 44 years,"28,628","1,229","16,186","1,319","12,442","1,134"
45 to 54 years,"25,822","1,233","13,958","1,385","11,865","1,095"
55 years and over,"25,325","1,166","14,039","1,296","11,286","1,032"
55 to 64 years,"19,991","1,186","10,995","1,341","8,995","1,043"
65 years and over,"5,334","1,101","3,044","1,161","2,291",999
,,,,,,
White,,,,,,
16 years and over,"91,952","1,126","52,307","1,201","39,645","1,016"
16 to 24 years,"8,933",703,"5,192",719,"3,741",674
25 years and over,"83,019","1,177","47,115","1,272","35,904","1,082"
25 to 54 years,"62,850","1,172","35,611","1,263","27,240","1,086"
55 years and over,"20,169","1,194","11,504","1,322","8,665","1,065"
,,,,,,
Black or African American,,,,,,
16 years and over,"16,631",913,"7,887",975,"8,744",877
16 to 24 years,"1,625",654,800,648,824,657
25 years and over,"15,007",952,"7,087","1,026","7,920",898
25 to 54 years,"11,854",944,"5,627","1,014","6,226",895
55 years and over,"3,153",985,"1,460","1,128","1,693",925
,,,,,,
Asian,,,,,,
16 years and over,"8,440","1,449","4,684","1,617","3,756","1,310"
16 to 24 years,522,936,307,854,215,983
25 years and over,"7,918","1,491","4,377","1,729","3,541","1,328"
25 to 54 years,"6,476","1,528","3,600","1,744","2,876","1,399"
55 years and over,"1,442","1,293",777,"1,572",665,997
,,,,,,
Hispanic or Latino ethnicity,,,,,,
16 years and over,"22,846",851,"13,533",892,"9,313",788
16 to 24 years,"3,035",663,"1,775",678,"1,260",638
25 years and over,"19,811",904,"11,758",948,"8,053",842
25 to 54 years,"16,301",910,"9,707",949,"6,594",870
55 years and over,"3,510",874,"2,052",947,"1,459",742
